quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
200126601,1/4 Zip CABLE CREW,Woolworths Classic Collection Knitwear Gents,AW20S,Automatic,S,7,"3,001",85,2,89,30,8,5,430,377,Normal Wash Soft,28,360,279,360,667,4,27,307,2,Y
200188901,T20.782 REPEAT,Woolworths (Pty) Ltd Mainstream Ladies,SS20S,Automatic,M,12,"5,400",85,2,72,47,0,23,291,250,Normal Wash Soft,28,232,174,232,433,-27,-115,201,1,N
190193050,HG- CASHMERE,Stockomani - Gents,AW20N,Hand Flat,S,12,"8,820",90,1,86,36,1,5,240,,Cashmere Wash,40,"1,114","1,009","1,114","1,379",7,94,265,2,Y
200103005,LYON-Plaiting,Edgars  Stone Harbour Gents,AW20S,Hand Flat,S,10,"8,500",93,1,61,22,0,5,335,330,Normal Wash Soft,28,124,81,152,268,6,16,144,2,Y
210106901,AW21 LWOOL V NECK,Marks & Spencer Plc T30 Gents,AW21N,Hand Flat,M,10,"113,000",95,1,63,22,0,4,323,289,Machine Wash TEC Supersoft,68,342,274,342,491,7,34,149,2,Y
210059804,ARCHER,Cape Union Mart Old Khaki Gents,AW21S,Automatic,S,12,"3,405",83,2,50,39,1,5,280,260,Tropical Dye,130,116,43,188,396,20,79,280,3,Y
210060901,MALY CO SMOO,Zadig & Voltaire Ladies,AW21N,Automatic,C,14,"2,092",83,2,142,129,43,5,464,488,Normal Wash Soft + Antipill,50,799,310,799,"2,105",33,687,"1,306",4,Y
210172703,JAB MERINO QUARTER ZIP,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,AW21N,Automatic,M,12,"30,016",83,2,50,37,12,5,341,310,Merino Liquid Stretch,35,406,303,433,666,13,89,261,2,Y
210172704,JAB MERINO QUARTER ZIP,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,AW21N,Automatic,M,12,"6,834",83,2,50,37,12,5,421,310,Merino Liquid Stretch,35,483,373,514,755,13,100,272,3,Y
210176401,MERINO POLO,Moores Gents,AW21N,Automatic,M,12,"3,222",83,2,57,42,4,5,375,335,Merino Liquid Stretch,35,413,341,443,704,8,57,291,3,Y
